Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
Popular searches,Marketing,,Permanent contract,New York,Fully-remote,,200,6 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/digital-marketing-specialist_watertown
Consumer Growth Marketing Associate Principal,,,,,,,,,https://www.welcometothejungle.com/en/companies/via/jobs/associate-principal-rider-insights_london
"VP, Product Marketing",,,,,,,,,https://www.welcometothejungle.com/en/companies/via/jobs/vp-product-marketing_new-york
"Marketing Manager, Commercial Enablement",New York,,,,,,,,https://www.welcometothejungle.com/en/companies/inato/jobs/marketing-manager-commercial-enablement_new-york
Director of Field Marketing,DATADOME,,Permanent contract,,Fully-remote,,200,6 days ago,https://www.welcometothejungle.com/en/companies/datadome/jobs/director-of-field-marketing_los-angeles
Product Marketing Manager,DATADOME,,Permanent contract,New York,No remote work,,200,6 days ago,https://www.welcometothejungle.com/en/companies/datadome/jobs/product-marketing-manager_new-york_DATAD_V8LMPOq
Digital Marketing Manager,MIRAKL,,Permanent contract,,,,750,9 days ago,https://www.welcometothejungle.com/en/companies/mirakl/jobs/associate-digital-marketing-manager_boston
Global Media Relations & Influencer Marketing Manager,GOPRO FRANCE,,Permanent contract,,,,103,12 days ago,https://www.welcometothejungle.com/en/companies/gopro/jobs/manager-global-media-relations-influencer-marketing_san-mateo
Growth Marketing Manager,MAKIPEOPLE,,Permanent contract,New York,No remote work,,50,20 days ago,https://www.welcometothejungle.com/en/companies/maki/jobs/digital-marketing-manager_new-york
Intern Field Marketing,BREVO,,Internship,,,,950,22 days ago,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/intern-field-marketing_austin
Product & Content Marketing Lead (US),WEWARD,,Permanent contract,New York,Occasional remote,,50,23 days ago,https://www.welcometothejungle.com/en/companies/weward/jobs/product-content-marketing-lead-us_new-york
Partner Marketing Lead,MISTRAL AI,,Permanent contract,New York,,,280,22 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/partner-marketing-lead_new-york
Senior Product Marketing Manager,NABLA,,Permanent contract,New York,,,60,23 days ago,https://www.welcometothejungle.com/en/companies/nabla/jobs/senior-product-marketing-manager_new-york
Senior Data Scientist in Marketing Analytics - New York,EKIMETRICS,,Permanent contract,New York,,,400,22 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/senior-consultant-in-marketing-analytics-data-science-new-york_new-york
Consumer Growth Marketing Associate,VIA,,Permanent contract,New York,No remote work,,300,22 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/consumer-growth-marketing-associate_new-york
Consumer Lifecycle Marketing Associate Principal,VIA,,Permanent contract,New York,No remote work,,300,22 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/consumer-lifecycle-marketing-associate-principal_new-york
Product Marketing Lead,CHAPSVISION,,Permanent contract,New York,,,200,,https://www.welcometothejungle.com/en/companies/chapsvision/jobs/product-marketing-lead_new-york
Content Marketing Associate Principal,VIA,,Permanent contract,New York,No remote work,,300,,https://www.welcometothejungle.com/en/companies/via/jobs/content-marketing-associate-principal_new-york
Event Marketing Associate,VIA,,Permanent contract,New York,No remote work,,300,2 months ago,https://www.welcometothejungle.com/en/companies/via/jobs/event-marketing-associate_new-york
Staff Engineer - Marketing Technology,VIA,,Permanent contract,New York,No remote work,,300,2 months ago,https://www.welcometothejungle.com/en/companies/via/jobs/staff-engineer-data-marketing-technology_new-york
Marketing Associate,VIA,,Permanent contract,New York,No remote work,,300,2 months ago,https://www.welcometothejungle.com/en/companies/via/jobs/marketing-associate_new-york
Senior Engineer - Marketing Technology,VIA,,Permanent contract,New York,No remote work,,300,2 months ago,https://www.welcometothejungle.com/en/companies/via/jobs/senior-engineer-data-marketing-technology_new-york
Senior Manager - Digital Media,HERMÈS,,Permanent contract,,,,185,24 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-manager-digital-media_manhattan_HERMS_qKejWkJ
Demand Generation Manager EMEA,AGORAPULSE,,Permanent contract,,,,170,22 days ago,https://www.welcometothejungle.com/en/companies/agorapulse/jobs/demand-generation-manager-emea
"Head of Demand Generation, North America",CHAPSVISION,,Permanent contract,New York,,,200,2 months ago,https://www.welcometothejungle.com/en/companies/chapsvision/jobs/head-of-demand-generation-north-america_new-york
Digital Strategy Intern (2026 Semester 1) - Generation H,HERMÈS,,Internship,,,,185,3 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/digital-strategy-intern-2026-semester-1-generation-h_manhattan_HERMS_rd2Ze9G
Graphic Designer Apprentice,MSX INTERNATIONAL,,Internship,,,,420,1 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/graphic-designer-apprentice_warwick
"SEO Consultant - based in Paris, New-York, Sao Paulo",PRIMELIS,,Permanent contract,"New York, Nantes…+1",,,190,4 hours ago,https://www.welcometothejungle.com/en/companies/primelis/jobs/consultant-seo-senior_levallois-perret
Brand Strategy & Content Lead,SONIO,,Permanent contract,,,,75,2 days ago,https://www.welcometothejungle.com/en/companies/sonio/jobs/brand-strategy-content-lead_boston
Market Tire Coach,MSX INTERNATIONAL,,Permanent contract,,,,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/market-performance-manager_new-haven
Find companies by stack,PHP,,,,,,,,https://www.welcometothejungle.com/en/stacks?refinementList[tools.backend][]=PHP
